Year,C.GDP,A.GDP,B.GDP,B.GDP.REAL.LEVEL,B.GDP.REAL.GROWTH,B.GDP.NOM.LEVEL,B.GDP.NOM.GROWTH,S.GDP.REAL.GROWTH,S.GDP.NOM.LEVEL,S.GDP.NOM.GROWTH
1985,,,,,,,,,,
1986,,,,,,,,,,
1987,,,,,,,,,,
1988,,,,,,,,,,
1989,,,,,,,,,,
1990,,,,,,,,,,
1991,,,,,,,,,,
1992,,,,,,,,,,
1993,,,,,,,,,,
1994,,,,,,,,,,
1995,,,,,,,,,,
1996,,,,,,,,,,
1997,,,,,,,,,,
1998,,,,,,,,,,
1999,,,,,,,,,,
2000,,,,,,,,,,
2001,,,,,,,,,,
2002,,,,,,,,,,
2003,,,,,,,,,,
2004,,,,,,,,,,
2005,,,,,,,,,,
2006,,,,,,,,,,
2007,,,,,,,,,,
2008,,,,,,,,,,
2009,,,,,,,,,,
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,,,,,-8.8,,,,,
2018,,,,,-9.1,,,,,
2019,,,,,8,,,,,
2020,,,,,-24,,,,,
2021,,,,,4,,,,,
2022,,,,,15,,,,,
